issue_key,tier,rule,file,baseline_line,status
AaCOHyj-9tFduPng094G,T2,python:S3776,frigate/record/export.py,583,open
AaCOHyTh9tFduPng09yt,T2,python:S3776,frigate/genai/plugins/openai.py,60,open
AaCOH0Iu9tFduPng0-Yp,T1,docker:S5332,docker/rocm/Dockerfile,37,source-addressed-awaiting-scan
AaCOHyWR9tFduPng09zn,T2,python:S3776,frigate/embeddings/maintainer.py,574,open
AaCOHybX9tFduPng091F,T2,python:S3776,frigate/api/chat.py,355,open
AaCOH0O99tFduPng0-Zn,T1,pythonsecurity:S8701,testing-scripts/analyze_recording_keyframes.py,140,reviewed-false-positive-confirmed
AaCOH0O99tFduPng0-Zm,T2,python:S3776,testing-scripts/analyze_recording_keyframes.py,189,open
AaCOHyB99tFduPng09xd,T2,python:S3776,frigate/output/birdseye.py,250,open
AaCOHyBe9tFduPng09xR,T2,python:S3776,frigate/output/camera.py,115,open
AaCOHyBx9tFduPng09xb,T2,python:S3776,frigate/output/output.py,118,open
AaCOHymV9tFduPng095P,T2,python:S3776,frigate/util/classification.py,875,open
AaCOHzQ49tFduPng0-Gr,T2,typescript:S3776,web/src/components/card/AnimatedEventCard.tsx,36,open
AaCOH0At9tFduPng0-Xd,T1,shell:S5332,docker/main/install_deps.sh,122,source-addressed-awaiting-scan
AaCOHy6g9tFduPng09_3,T2,typescript:S3776,web/src/components/settings/wizard/Step4Validation.tsx,529,open
AaCOHykU9tFduPng094U,T2,python:S3776,frigate/record/maintainer.py,324,open
AaCOHyZZ9tFduPng090E,T2,python:S3776,frigate/api/export.py,643,open
AaCOHyZZ9tFduPng090F,T2,python:S3776,frigate/api/export.py,961,open
AaCOHylJ9tFduPng094l,T2,python:S3776,frigate/jobs/export.py,391,open
AaCOHybX9tFduPng091I,T2,python:S3776,frigate/api/chat.py,723,open
AaCOHzkW9tFduPng0-Nl,T2,typescript:S3776,web/src/utils/chatUtil.ts,265,open
AaCOHyuJ9tFduPng0972,T2,python:S3776,frigate/ptz/onvif.py,187,open
AaCOHyi79tFduPng0939,T2,python:S3776,frigate/config/env.py,23,open
AaCOH0Rj9tFduPng0-Z_,T1,githubactions:S6505,.github/workflows/pull_request.yml,72,source-addressed-awaiting-scan
AaCOH0Rj9tFduPng0-aA,T1,githubactions:S8543,.github/workflows/pull_request.yml,72,source-addressed-awaiting-scan
AaCOHyeG9tFduPng092d,T2,python:S3776,frigate/data_processing/post/review_descriptions.py,128,open
AaCOHyeG9tFduPng092g,T2,python:S3776,frigate/data_processing/post/review_descriptions.py,239,open
AaCOHzvw9tFduPng0-St,T2,typescript:S3776,web/src/lib/config-schema/transformer.ts,455,open
AaCOHy8k9tFduPng0-A5,T2,typescript:S3776,web/src/components/settings/PolygonItem.tsx,56,open
AaCOHy8k9tFduPng0-A9,T2,typescript:S3776,web/src/components/settings/PolygonItem.tsx,119,open
AaCOHybX9tFduPng091J,T2,python:S3776,frigate/api/chat.py,871,open
AaCOHx_A9tFduPng09w1,T2,python:S3776,docs/scripts/generate_ui_tabs.py,57,open
AaCOHx_A9tFduPng09w8,T1,pythonsecurity:S8707,docs/scripts/generate_ui_tabs.py,74,reviewed-false-positive-confirmed
AaCOHx_A9tFduPng09w2,T2,python:S3776,docs/scripts/generate_ui_tabs.py,182,open
AaCOHx_A9tFduPng09w6,T1,pythonsecurity:S8707,docs/scripts/generate_ui_tabs.py,202,reviewed-false-positive-confirmed
AaCOHx_A9tFduPng09w9,T1,pythonsecurity:S8707,docs/scripts/generate_ui_tabs.py,302,reviewed-false-positive-confirmed
AaCOHx_A9tFduPng09w5,T2,python:S3776,docs/scripts/generate_ui_tabs.py,417,open
AaCOHx_A9tFduPng09w7,T1,pythonsecurity:S8707,docs/scripts/generate_ui_tabs.py,490,reviewed-false-positive-confirmed
AaCOHx-h9tFduPng09wn,T2,python:S3776,docs/scripts/lib/ui_generator.py,12,open
AaCOHx-h9tFduPng09wo,T2,python:S3776,docs/scripts/lib/ui_generator.py,100,open
AaCOHx-r9tFduPng09wp,T2,python:S3776,docs/scripts/lib/yaml_extractor.py,28,open
AaCOHx-r9tFduPng09ws,T2,python:S3776,docs/scripts/lib/yaml_extractor.py,134,open
AaCOHy5U9tFduPng09-4,T2,typescript:S3776,web/src/components/input/InputWithTags.tsx,423,open
AaCOHyxE9tFduPng099L,T2,python:S3776,frigate/stats/util.py,342,open
AaCOHzBt9tFduPng0-B2,T2,typescript:S3776,web/src/components/config-form/theme/widgets/ReviewLabelSwitchesWidget.tsx,12,open
AaCOHykn9tFduPng094f,T2,python:S3776,frigate/jobs/vlm_watch.py,230,open
AaCOHydg9tFduPng092U,T2,python:S3776,frigate/data_processing/post/object_descriptions.py,267,open
AaCOHyd79tFduPng092b,T2,python:S3776,frigate/data_processing/post/semantic_trigger.py,65,open
AaCOHygN9tFduPng093T,T2,python:S3776,frigate/data_processing/real_time/custom_classification.py,172,open
AaCOHyuz9tFduPng098z,T2,python:S3776,frigate/events/maintainer.py,141,open
AaCOHyBK9tFduPng09xI,T2,python:S3776,frigate/camera/state.py,86,open
AaCOHykU9tFduPng094b,T2,python:S3776,frigate/record/maintainer.py,693,open
AaCOHy3l9tFduPng09-X,T2,python:S3776,frigate/review/maintainer.py,420,open
AaCOHy4c9tFduPng09-i,T2,python:S3776,frigate/timeline.py,81,open
AaCOHy4c9tFduPng09-k,T1,pythonbugs:S2259,frigate/timeline.py,142,source-addressed-awaiting-scan
AaCOHywB9tFduPng099A,T2,python:S3776,frigate/motion/frigate_motion.py,47,open
AaCOHyv49tFduPng0987,T2,python:S3776,frigate/motion/improved_motion.py,53,open
AaCOHyBx9tFduPng09xW,T2,python:S3776,frigate/output/output.py,42,open
AaCOHyBn9tFduPng09xT,T2,python:S3776,frigate/output/preview.py,209,open
AaCOHy0Z9tFduPng0990,T2,python:S3776,frigate/video/ffmpeg.py,259,open
AaCOHyuJ9tFduPng0977,T2,python:S3776,frigate/ptz/onvif.py,840,open
AaCOHymV9tFduPng095N,T1,python:S2245,frigate/util/classification.py,822,reviewed-false-positive-confirmed
AaCOHymV9tFduPng095O,T1,python:S2245,frigate/util/classification.py,828,reviewed-false-positive-confirmed
AaCOHzH39tFduPng0-DM,T2,typescript:S3776,web/src/components/classification/wizard/Step3ChooseExamples.tsx,48,open
AaCOHyaI9tFduPng0903,T2,python:S3776,frigate/api/media.py,1132,open
AaCOHyqH9tFduPng096y,T2,python:S3776,frigate/util/camera_cleanup.py,111,open
AaCOH0SF9tFduPng0-aZ,T2,python:S3776,generate_config_translations.py,216,open
AaCOHysO9tFduPng097U,T2,python:S3776,frigate/comms/webpush.py,197,open
AaCOHybX9tFduPng091K,T2,python:S3776,frigate/api/chat.py,1009,open
AaCOHy9M9tFduPng0-BU,T2,typescript:S3776,web/src/components/config-form/theme/templates/ObjectFieldTemplate.tsx,322,open
AaCOHzvw9tFduPng0-So,T2,typescript:S3776,web/src/lib/config-schema/transformer.ts,61,open
AaCOHzBb9tFduPng0-By,T2,typescript:S3776,web/src/components/config-form/theme/widgets/FfmpegArgsWidget.tsx,97,open
AaCOHyil9tFduPng093y,T2,python:S3776,frigate/config/profile_manager.py,304,open
AaCOHyil9tFduPng093z,T2,python:S3776,frigate/config/profile_manager.py,339,open
AaCOHzE69tFduPng0-Co,T2,typescript:S3776,web/src/components/config-form/sections/BaseSection.tsx,677,open
AaCOHy7p9tFduPng0-Ag,T2,typescript:S3776,web/src/components/settings/ObjectMaskEditPane.tsx,177,open
AaCOHy7-9tFduPng0-An,T2,typescript:S3776,web/src/components/settings/ZoneEditPane.tsx,387,open
AaCOHzvw9tFduPng0-Sv,T2,typescript:S3776,web/src/lib/config-schema/transformer.ts,609,open
AaCOHzic9tFduPng0-My,T2,typescript:S3776,web/src/pages/Settings.tsx,1415,open
AaCOHzqH9tFduPng0-PR,T2,typescript:S3776,web/src/views/settings/MasksAndZonesView.tsx,256,open
AaCOHzrN9tFduPng0-Ps,T2,typescript:S3776,web/src/views/settings/ProfilesView.tsx,146,open
AaCOHz1f9tFduPng0-UY,T1,text:S6389,web/public/locales/fa/config/cameras.json,86,source-addressed-awaiting-scan
AaCOHz1f9tFduPng0-UZ,T1,text:S6389,web/public/locales/fa/config/cameras.json,213,source-addressed-awaiting-scan
AaCOHz0p9tFduPng0-UX,T1,text:S6389,web/public/locales/fa/config/global.json,277,source-addressed-awaiting-scan
AaCOHzJa9tFduPng0-D-,T2,typescript:S3776,web/src/components/overlay/detail/TrackingDetails.tsx,203,open
AaCOHzhB9tFduPng0-MI,T2,typescript:S3776,web/src/api/ws.ts,156,open
AaCOHz9p9tFduPng0-W3,T1,docker:S8541,docker/main/Dockerfile,287,source-addressed-awaiting-scan
AaCOHz9p9tFduPng0-W4,T1,docker:S8544,docker/main/Dockerfile,287,source-addressed-awaiting-scan
AaCOHzOO9tFduPng0-Fs,T2,typescript:S3776,web/src/components/overlay/ReviewActivityCalendar.tsx,69,open
AaCOHztd9tFduPng0-RG,T2,typescript:S3776,web/src/views/events/EventView.tsx,992,open
AaCOHyaI9tFduPng0900,T2,python:S3776,frigate/api/media.py,898,open
AaCOHyVP9tFduPng09zb,T2,python:S3776,frigate/embeddings/embeddings.py,324,open
AaCOHyXW9tFduPng09zo,T2,python:S3776,frigate/embeddings/genai_embedding.py,29,open
AaCOHzh99tFduPng0-MX,T2,typescript:S3776,web/src/pages/Explore.tsx,42,open
AaCOHyOh9tFduPng09ya,T2,python:S3776,frigate/detectors/detection_runners.py,538,open
AaCOHztO9tFduPng0-Qx,T1,typescript:S6959,web/src/views/events/MotionPreviewsPane.tsx,140,source-addressed-awaiting-scan
AaCOHztO9tFduPng0-Qz,T2,typescript:S2004,web/src/views/events/MotionPreviewsPane.tsx,303,open
AaCOHztO9tFduPng0-Q0,T2,typescript:S2004,web/src/views/events/MotionPreviewsPane.tsx,304,open
AaCOHzu89tFduPng0-SK,T2,typescript:S3776,web/src/views/motion-search/MotionSearchView.tsx,833,open
AaCOHykU9tFduPng094R,T2,python:S3776,frigate/record/maintainer.py,106,open
AaCOHyl49tFduPng094u,T2,python:S3776,frigate/util/builtin.py,84,open
AaCOHzdI9tFduPng0-LT,T2,typescript:S3776,web/src/components/ws/WsMessageFeed.tsx,76,open
AaCOHzc89tFduPng0-LN,T2,typescript:S3776,web/src/components/ws/WsMessageRow.tsx,96,open
AaCOHyth9tFduPng097s,T2,python:S3776,frigate/comms/dispatcher.py,1113,open
AaCOHyix9tFduPng0931,T2,python:S3776,frigate/config/config.py,126,open
AaCOHyix9tFduPng0932,T2,python:S3776,frigate/config/config.py,178,open
AaCOHyqj9tFduPng097C,T2,python:S3776,frigate/util/config.py,479,open
AaCOHynw9tFduPng0958,T2,python:S3776,frigate/util/object.py,217,open
AaCOH0SF9tFduPng0-ae,T1,pythonsecurity:S8707,generate_config_translations.py,302,reviewed-false-positive-confirmed
AaCOHy9M9tFduPng0-BS,T2,typescript:S3776,web/src/components/config-form/theme/templates/ObjectFieldTemplate.tsx,70,open
AaCOHzvw9tFduPng0-Ss,T2,typescript:S3776,web/src/lib/config-schema/transformer.ts,243,open
AaCOHzjp9tFduPng0-NY,T2,typescript:S3776,web/src/utils/configUtil.ts,512,open
AaCOHyj-9tFduPng094I,T2,python:S3776,frigate/record/export.py,787,open
AaCOHyxE9tFduPng099F,T2,python:S3776,frigate/stats/util.py,105,open
AaCOHyqj9tFduPng096-,T2,python:S3776,frigate/util/config.py,71,open
AaCOHymp9tFduPng095R,T2,python:S3776,frigate/util/media.py,67,open
AaCOHymp9tFduPng095S,T2,python:S3776,frigate/util/media.py,100,open
AaCOHymp9tFduPng095a,T2,python:S3776,frigate/util/media.py,260,open
AaCOHymp9tFduPng095e,T2,python:S3776,frigate/util/media.py,348,open
AaCOHymp9tFduPng095i,T2,python:S3776,frigate/util/media.py,444,open
AaCOHymp9tFduPng095m,T2,python:S3776,frigate/util/media.py,524,open
AaCOHymp9tFduPng095q,T2,python:S3776,frigate/util/media.py,602,open
AaCOHyo89tFduPng096a,T2,python:S3776,frigate/util/services.py,820,open
AaCOHyX_9tFduPng09z0,T2,python:S3776,frigate/api/event.py,101,open
AaCOHydM9tFduPng092P,T2,python:S3776,frigate/api/app.py,1365,open
AaCOHyZo9tFduPng090T,T2,python:S3776,frigate/api/camera.py,676,open
